STATE,ELECTORAL_VOTE,ELECTORAL_VOTE_POP
AL,TRUMP,TRUMP
AL,TRUMP,TRUMP
AL,TRUMP,TRUMP
AL,TRUMP,TRUMP
AL,TRUMP,TRUMP
AL,TRUMP,TRUMP
AL,TRUMP,CLINTON
AL,TRUMP,CLINTON
AL,TRUMP,CLINTON
AK,TRUMP,TRUMP
AK,TRUMP,TRUMP
AK,TRUMP,CLINTON
AZ,TRUMP,TRUMP
AZ,TRUMP,TRUMP
AZ,TRUMP,TRUMP
AZ,TRUMP,TRUMP
AZ,TRUMP,TRUMP
AZ,TRUMP,CLINTON
AZ,TRUMP,CLINTON
AZ,TRUMP,CLINTON
AZ,TRUMP,CLINTON
AZ,TRUMP,CLINTON
AZ,TRUMP,CLINTON
AR,TRUMP,TRUMP
AR,TRUMP,TRUMP
AR,TRUMP,TRUMP
AR,TRUMP,TRUMP
AR,TRUMP,CLINTON
AR,TRUMP,CLINTON
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,TRUMP
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CA,CLINTON,CLINTON
CO,CLINTON,TRUMP
CO,CLINTON,TRUMP
CO,CLINTON,TRUMP
CO,CLINTON,TRUMP
CO,CLINTON,CLINTON
CO,CLINTON,CLINTON
CO,CLINTON,CLINTON
CO,CLINTON,CLINTON
CO,CLINTON,CLINTON
CT,CLINTON,TRUMP
CT,CLINTON,TRUMP
CT,CLINTON,TRUMP
CT,CLINTON,CLINTON
CT,CLINTON,CLINTON
CT,CLINTON,CLINTON
CT,CLINTON,CLINTON
DE,CLINTON,TRUMP
DE,CLINTON,CLINTON
DE,CLINTON,CLINTON
DC,CLINTON,CLINTON
DC,CLINTON,CLINTON
DC,CLINTON,CLINTON
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,TRUMP
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
FL,TRUMP,CLINTON
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,TRUMP
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
GA,TRUMP,CLINTON
HI,CLINTON,TRUMP
HI,CLINTON,CLINTON
HI,OTHERS,OTHERS
HI,CLINTON,CLINTON
ID,TRUMP,TRUMP
ID,TRUMP,TRUMP
ID,TRUMP,CLINTON
ID,TRUMP,CLINTON
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,TRUMP
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IL,CLINTON,CLINTON
IN,TRUMP,TRUMP
IN,TRUMP,TRUMP
IN,TRUMP,TRUMP
IN,TRUMP,TRUMP
IN,TRUMP,TRUMP
IN,TRUMP,TRUMP
IN,TRUMP,CLINTON
IN,TRUMP,CLINTON
IN,TRUMP,CLINTON
IN,TRUMP,CLINTON
IN,TRUMP,CLINTON
IA,TRUMP,TRUMP
IA,TRUMP,TRUMP
IA,TRUMP,TRUMP
IA,TRUMP,CLINTON
IA,TRUMP,CLINTON
IA,TRUMP,CLINTON
KS,TRUMP,TRUMP
KS,TRUMP,TRUMP
KS,TRUMP,TRUMP
KS,TRUMP,CLINTON
KS,TRUMP,CLINTON
KS,TRUMP,CLINTON
KY,TRUMP,TRUMP
KY,TRUMP,TRUMP
KY,TRUMP,TRUMP
KY,TRUMP,TRUMP
KY,TRUMP,TRUMP
KY,TRUMP,CLINTON
KY,TRUMP,CLINTON
KY,TRUMP,CLINTON
LA,TRUMP,TRUMP
LA,TRUMP,TRUMP
LA,TRUMP,TRUMP
LA,TRUMP,TRUMP
LA,TRUMP,TRUMP
LA,TRUMP,CLINTON
LA,TRUMP,CLINTON
LA,TRUMP,CLINTON
ME,TRUMP,CLINTON
ME,CLINTON,CLINTON
ME,CLINTON,TRUMP
ME,CLINTON,TRUMP
MD,CLINTON,TRUMP
MD,CLINTON,TRUMP
MD,CLINTON,TRUMP
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MD,CLINTON,CLINTON
MA,CLINTON,TRUMP
MA,CLINTON,TRUMP
MA,CLINTON,TRUMP
MA,CLINTON,TRUMP
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MA,CLINTON,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,CLINTON
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MI,TRUMP,TRUMP
MN,CLINTON,CLINTON
MN,CLINTON,CLINTON
MN,CLINTON,CLINTON
MN,CLINTON,CLINTON
MN,CLINTON,CLINTON
MN,CLINTON,TRUMP
MN,CLINTON,TRUMP
MN,CLINTON,TRUMP
MN,CLINTON,TRUMP
MN,CLINTON,TRUMP
MS,TRUMP,CLINTON
MS,TRUMP,CLINTON
MS,TRUMP,CLINTON
MS,TRUMP,TRUMP
MS,TRUMP,TRUMP
MS,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,TRUMP
MO,TRUMP,CLINTON
MO,TRUMP,CLINTON
MO,TRUMP,CLINTON
MO,TRUMP,CLINTON
MT,TRUMP,TRUMP
MT,TRUMP,TRUMP
MT,TRUMP,CLINTON
NE,TRUMP,TRUMP
NE,TRUMP,TRUMP
NE,TRUMP,TRUMP
NE,TRUMP,CLINTON
NE,TRUMP,CLINTON
NV,CLINTON,TRUMP
NV,CLINTON,TRUMP
NV,CLINTON,TRUMP
NV,CLINTON,CLINTON
NV,CLINTON,CLINTON
NV,CLINTON,CLINTON
NH,CLINTON,TRUMP
NH,CLINTON,TRUMP
NH,CLINTON,CLINTON
NH,CLINTON,CLINTON
NJ,CLINTON,TRUMP
NJ,CLINTON,TRUMP
NJ,CLINTON,TRUMP
NJ,CLINTON,TRUMP
NJ,CLINTON,TRUMP
NJ,CLINTON,TRUMP
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NJ,CLINTON,CLINTON
NM,CLINTON,TRUMP
NM,CLINTON,TRUMP
NM,CLINTON,CLINTON
NM,CLINTON,CLINTON
NM,CLINTON,CLINTON
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,TRUMP
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NY,CLINTON,CLINTON
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,TRUMP
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
NC,TRUMP,CLINTON
ND,TRUMP,TRUMP
ND,TRUMP,TRUMP
ND,TRUMP,CLINTON
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,TRUMP
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OH,TRUMP,CLINTON
OK,TRUMP,TRUMP
OK,TRUMP,TRUMP
OK,TRUMP,TRUMP
OK,TRUMP,TRUMP
OK,TRUMP,TRUMP
OK,TRUMP,CLINTON
OK,TRUMP,CLINTON
OR,CLINTON,TRUMP
OR,CLINTON,TRUMP
OR,CLINTON,TRUMP
OR,CLINTON,CLINTON
OR,CLINTON,CLINTON
OR,CLINTON,CLINTON
OR,CLINTON,CLINTON
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,TRUMP
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
PA,TRUMP,CLINTON
RI,CLINTON,TRUMP
RI,CLINTON,TRUMP
RI,CLINTON,CLINTON
RI,CLINTON,CLINTON
SC,TRUMP,TRUMP
SC,TRUMP,TRUMP
SC,TRUMP,TRUMP
SC,TRUMP,TRUMP
SC,TRUMP,TRUMP
SC,TRUMP,CLINTON
SC,TRUMP,CLINTON
SC,TRUMP,CLINTON
SC,TRUMP,CLINTON
SD,TRUMP,TRUMP
SD,TRUMP,TRUMP
SD,TRUMP,CLINTON
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,TRUMP
TN,TRUMP,CLINTON
TN,TRUMP,CLINTON
TN,TRUMP,CLINTON
TN,TRUMP,CLINTON
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,TRUMP
TX,TRUMP,OTHERS
TX,TRUMP,OTHERS
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,TRUMP,CLINTON
TX,OTHERS,TRUMP
TX,OTHERS,TRUMP
TX,TRUMP,CLINTON
UT,TRUMP,TRUMP
UT,TRUMP,TRUMP
UT,TRUMP,TRUMP
UT,TRUMP,CLINTON
UT,TRUMP,CLINTON
UT,TRUMP,CLINTON
VT,CLINTON,TRUMP
VT,CLINTON,CLINTON
VT,CLINTON,CLINTON
VA,CLINTON,TRUMP
VA,CLINTON,TRUMP
VA,CLINTON,TRUMP
VA,CLINTON,TRUMP
VA,CLINTON,TRUMP
VA,CLINTON,TRUMP
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
VA,CLINTON,CLINTON
WA,CLINTON,TRUMP
WA,CLINTON,TRUMP
WA,CLINTON,TRUMP
WA,CLINTON,TRUMP
WA,CLINTON,CLINTON
WA,CLINTON,CLINTON
WA,CLINTON,CLINTON
WA,OTHERS,CLINTON
WA,OTHERS,CLINTON
WA,OTHERS,CLINTON
WA,OTHERS,OTHERS
WA,CLINTON,OTHERS
WV,TRUMP,TRUMP
WV,TRUMP,TRUMP
WV,TRUMP,TRUMP
WV,TRUMP,CLINTON
WV,TRUMP,CLINTON
WI,TRUMP,TRUMP
WI,TRUMP,TRUMP
WI,TRUMP,TRUMP
WI,TRUMP,TRUMP
WI,TRUMP,TRUMP
WI,TRUMP,CLINTON
WI,TRUMP,CLINTON
WI,TRUMP,CLINTON
WI,TRUMP,CLINTON
WI,TRUMP,CLINTON
WY,TRUMP,CLINTON
WY,TRUMP,CLINTON
WY,TRUMP,TRUMP
